From,To,Imax
n1,n2,73.36175257
n2,n3,56.86875175
n3,n19,0.599011245
n4,n4,29.15662682
n5,n23,3.938290733
n6,n5,26.62276934
n7,n6,31.31879289
n8,n7,5.483668586
n9,n26,8.166431958
n10,n8,3.938290733
n11,n9,2.396048258
n12,n10,2.041603075
n13,n11,1.663922675
n14,n12,1.417780732
n15,n13,1.064911429
n16,n14,0.7975033
n17,n15,0.354445183
n18,n16,0.208334915
n19,n17,0.113816199
n20,n18,0.042596588
n21,n20,0.354445183
n22,n21,0.157531302
n23,n22,0.040973858
n24,n24,3.333362566
n25,n25,0.833339003
n26,n27,6.655684146
n27,n28,6.452490662
n28,n29,5.671136034
n29,n30,4.22692901
n30,n31,0.984571045
n31,n32,0.403281076
n32,n33,0.020416031